Unnamed: 0,agencyId,surfaceLiving,numberRooms,city,advertisementId,geo,geoLocation,price,norm_price,neighborhood_price,realvalue,Lon,Lat,disco,kids
12,e003,107.0,3.0,Aarau,105936102,4119,"8.0399569,47.3856587",480000.0,4485.98130841,5722.59140387,-0.234446389241,8.0399569,47.3856587,-1.23062259046,-1.31971239977
13,a252,130.0,4.5,Aarau,105959716,4161,"8.0484240,47.3892790",610000.0,4692.30769231,5345.75347266,-0.315466177626,8.048424,47.389279,-1.23420518316,-1.31975303807
14,a252,130.0,4.5,Aarau,105959714,4161,"8.0484240,47.3892790",625000.0,4807.69230769,5345.75347266,-0.331496714611,8.048424,47.389279,-1.23420518316,-1.31975303807
15,ipv,93.0,3.5,Aarau,105931979,4425,"8.1389974,47.4342887",650000.0,6989.24731183,7489.41738826,-0.336760973577,8.1389974,47.4342887,-1.26342979118,-1.30615834309
16,ipv,94.0,2.5,Aarau,105931978,4425,"8.1389974,47.4342887",670000.0,7127.65957447,7489.41738826,-0.355990772003,8.1389974,47.4342887,-1.26342979118,-1.30615834309
18,i444,130.0,5.5,Aarau,105975745,4112,"8.0388547,47.3865728",780000.0,6000.0,7265.28913872,-0.230461971889,8.0388547,47.3865728,-1.2293469256,-1.31886484487
20,8003,190.0,6.5,Aarau,105974066,4161,"8.0484240,47.3892790",895000.0,4710.52631579,5345.75347266,-0.317997315045,8.048424,47.389279,-1.23420518316,-1.31975303807
41,e179,89.0,4.0,Aarau Rohr,105995014,4264,"8.0789344,47.3989951",395000.0,4438.20224719,8465.09388903,0.153211110658,8.0789344,47.3989951,-1.24857034269,-1.32047254327
42,e179,112.0,4.5,Aarau Rohr,105990581,4240,"8.0704625,47.4006337",599000.0,5348.21428571,9099.98585206,0.114988315263,8.0704625,47.4006337,-1.24200906508,-1.31765109559
46,aki,203.0,9.5,Aarau Rohr,105997595,4274,"8.0832565,47.4014805",1180000.0,5812.80788177,6292.37694576,-0.339623099441,8.0832565,47.4014805,-1.24986055865,-1.31973433119
48,s104,133.0,5.5,Aarberg,105953236,1868,"7.2721975,47.0406411",825000.0,6203.0075188,8374.5226521,-0.10455879776,7.2721975,47.0406411,-0.547504183556,-0.744513944467
51,i169idx,100.0,4.0,Aarburg,105839501,3705,"7.8997220,47.3200360",350000.0,3500.0,4656.42958594,-0.245585973309,7.899722,47.320036,-1.16279974531,-1.30192281485
52,f525,76.0,3.5,Aarburg,105960229,3705,"7.8997220,47.3200360",355000.0,4671.05263158,4656.42958594,-0.408281861828,7.899722,47.320036,-1.16279974531,-1.30192281485
54,x243chsky,103.0,3.5,Aarburg,106006326,3705,"7.8997220,47.3200360",465000.0,4514.5631068,4656.42958594,-0.3865405655,7.899722,47.320036,-1.16279974531,-1.30192281485
55,redin1,98.0,3.5,Aarburg,105832606,3727,"7.9033150,47.3199139",495000.0,5051.02040816,6669.9548728,-0.181329559759,7.903315,47.3199139,-1.16564882228,-1.30363473861
56,x243chsky,140.0,4.5,Aarburg,106005994,3705,"7.8997220,47.3200360",498000.0,3557.14285714,4656.42958594,-0.253524905911,7.899722,47.320036,-1.16279974531,-1.30192281485
57,redin1,98.0,3.5,Aarburg,105993907,3735,"7.9052087,47.3196767",540000.0,5510.20408163,8925.07766657,0.0681826338217,7.9052087,47.3196767,-1.16721640771,-1.30459637903
58,redin1,124.0,4.5,Aarburg,105993905,3732,"7.9048391,47.3198268",550000.0,4435.48387097,8842.5821268,0.206033717615,7.9048391,47.3198268,-1.16686743551,-1.30436720029
59,q114,102.0,3.5,Aarburg,105868970,3730,"7.9038465,47.3203628",575000.0,5637.25490196,6345.09549435,-0.30790903456,7.9038465,47.3203628,-1.16587338268,-1.30369556676
61,redin1,140.0,5.5,Aarburg,106005201,3735,"7.9052087,47.3196767",650000.0,4642.85714286,8925.07766657,0.188684289386,7.9052087,47.3196767,-1.16721640771,-1.30459637903
62,redin1,100.0,3.5,Aarburg,105993906,3732,"7.9048391,47.3198268",690000.0,6900.0,8842.5821268,-0.136364762666,7.9048391,47.3198268,-1.16686743551,-1.30436720029
64,c347x,177.0,5.5,Aarburg,105685993,3737,"7.9059673,47.3233690",898500.0,5076.27118644,7113.20218558,-0.123256749241,7.9059673,47.323369,-1.16624436926,-1.30342463795
66,aki,380.0,10.0,Aarburg,105837971,3739,"7.9070031,47.3236900",2250000.0,5921.05263158,7261.66499495,-0.219997216821,7.9070031,47.32369,-1.16690781411,-1.30376147585
67,f316,130.0,5.0,Aarwangen,105914954,3376,"7.7656896,47.2375675",410000.0,3153.84615385,8073.85044919,0.277292430993,7.7656896,47.2375675,-1.07972487887,-1.25020787467
68,x243chsky,140.0,4.5,Aarwangen,106005443,3384,"7.7703800,47.2384430",598000.0,4271.42857143,5867.70030718,-0.18447812261,7.77038,47.238443,-1.08355649258,-1.2531364179
102,c422xr,151.0,5.5,Adligenswil,105958108,5410,"8.3619049,47.0775534",790000.0,5231.78807947,5882.12451502,-0.315898163005,8.3619049,47.0775534,-1.38699192603,-1.32623511215
115,x379,98.0,5.0,Adlikon b. Regensdorf,106007649,5832,"8.4664800,47.4475700",580000.0,5918.36734694,7742.60955206,-0.152805884257,8.46648,47.44757,-1.38006270049,-1.25417921993
118,h316,187.0,5.5,Adlikon b. Regensdorf,105987068,5832,"8.4664800,47.4475700",1250000.0,6684.49197861,7742.60955206,-0.259244591028,8.46648,47.44757,-1.38006270049,-1.25417921993
119,x379,187.0,5.5,Adlikon b. Regensdorf,105981708,5832,"8.4664800,47.4475700",1250000.0,6684.49197861,7742.60955206,-0.259244591028,8.46648,47.44757,-1.38006270049,-1.25417921993
120,hgok,91.0,4.0,Adliswil,105895126,6048,"8.5166570,47.3178256",340000.0,3736.26373626,5438.50851633,-0.169755147623,8.516657,47.3178256,-1.44060209802,-1.29466907996
126,wpi,190.0,6.5,Adliswil,106000649,6110,"8.5255270,47.3117560",1490000.0,7842.10526316,10277.173913,-0.0679429596699,8.525527,47.311756,-1.43760905874,-1.29055188518
139,hgoh,187.0,,Aegerten,103924960,1904,"7.2889427,47.1208640",980000.0,5240.64171123,5874.25680872,-0.318221280584,7.2889427,47.120864,-0.563540186847,-0.764531390543
141,p102,130.0,5.5,Aeschau,105964094,3366,"7.7619550,46.9091350",504000.0,3876.92307692,8857.22701556,0.285669940064,7.761955,46.909135,-1.04005593351,-1.1735405148
148,hgol,258.0,10.0,Aesch BL,105962255,2850,"7.6005674,47.4655814",1050000.0,4069.76744186,8366.36115128,0.190681175057,7.6005674,47.4655814,-0.788933156577,-0.97849211248
150,nhpk,142.0,4.0,Aesch BL,105397545,2831,"7.5973402,47.4663887",1255450.0,8841.1971831,9809.90542967,-0.27166634688,7.5973402,47.4663887,-0.784657908232,-0.974376397203
152,nhpk,230.0,5.0,Aesch BL,105848885,2832,"7.5977976,47.4618887",1930000.0,8391.30434783,11913.0241683,0.0830269224237,7.5977976,47.4618887,-0.788741015288,-0.978829084034
156,i097,84.0,4.5,Aeschi SO,106004204,3081,"7.6602134,47.1781830",398000.0,4738.0952381,5848.66537675,-0.251957286879,7.6602134,47.178183,-0.997992591456,-1.181657427
157,i218,120.0,5.5,Aeschi SO,105766461,3071,"7.6595022,47.1752610",695000.0,5791.66666667,5914.99716923,-0.389115793204,7.6595022,47.175261,-0.997877718136,-1.18141869552
159,c260,160.0,4.5,Aesch LU,105631760,4798,"8.2408040,47.2579150",1080000.0,6750.0,7337.60533708,-0.324613477355,8.240804,47.257915,-1.39140591193,-1.38679805993
160,hgok,145.0,5.5,Aesch LU,105894209,4800,"8.2410021,47.2534075",1180000.0,8137.93103448,8333.33333333,-0.379102763373,8.2410021,47.2534075,-1.39191561528,-1.38724601981
166,h373,131.0,3.5,Aesch ZH,105836585,5712,"8.4425023,47.3329987",800000.0,6106.87022901,6796.11097595,-0.31049313565,8.4425023,47.3329987,-1.43967305168,-1.32725060492
178,interrem,102.0,4.5,Aeugst am Albis,105945516,5919,"8.4855683,47.2690966",850000.0,8333.33333333,8334.93066681,-0.406028343137,8.4855683,47.2690966,-1.4398882056,-1.31798014284
182,x243chsky,291.0,7.5,Aeugst am Albis,106005544,5917,"8.4852390,47.2677460",1695000.0,5824.74226804,7666.66666667,-0.150349273764,8.485239,47.267746,-1.4397182494,-1.31820300273
190,x270,420.0,,Aeugstertal,105874772,5991,"8.5043825,47.2779800",2150000.0,5119.04761905,7323.54202942,-0.0999769432458,8.5043825,47.27798,-1.4381170288,-1.3071322514
191,x270,420.0,,Aeugstertal,105874771,5991,"8.5043825,47.2779800",2150000.0,5119.04761905,7323.54202942,-0.0999769432458,8.5043825,47.27798,-1.4381170288,-1.3071322514
195,stf,170.0,5.5,Affeltrangen,105999696,8885,"9.0262046,47.5320979",759000.0,4464.70588235,6915.36859622,-0.0657764557679,9.0262046,47.5320979,-0.812251522729,-0.595271461807
199,x673,144.0,4.5,Affoltern am Albis,105916986,5715,"8.4428729,47.2771171",710000.0,4930.55555556,10894.9722443,0.422394023993,8.4428729,47.2771171,-1.44244562205,-1.33793917889
216,x243chsky,161.0,3.5,Affoltern im Emmental,106006072,3300,"7.7454480,47.0618660",660000.0,4099.37888199,7044.1912033,0.00287640173484,7.745448,47.061866,-1.07525921888,-1.23371484988
217,x243chsky,105.0,4.5,Agarn,106005518,3097,"7.6632360,46.2974500",249000.0,2371.42857143,11383.8858903,0.845862333772,7.663236,46.29745,-0.338031203911,-0.35669077204
219,p180sub,70.0,,Agarone,105978952,8099,"8.9062790,46.1784420",110000.0,1571.42857143,6336.89992847,0.255822965809,8.906279,46.178442,-0.125456054809,0.33190002845
221,c225lmxr,78.0,3.0,Agarone,106007106,8099,"8.9062790,46.1784420",440000.0,5641.02564103,6336.89992847,-0.309571529108,8.906279,46.178442,-0.125456054809,0.33190002845
222,bizasc,160.0,5.5,Agarone,105537522,8099,"8.9062790,46.1784420",795000.0,4968.75,6336.89992847,-0.216171386538,8.906279,46.178442,-0.125456054809,0.33190002845
223,x243chsky,220.0,7.0,Agarone,106006152,8099,"8.9062790,46.1784420",1075000.0,4886.36363636,6336.89992847,-0.204725340244,8.906279,46.178442,-0.125456054809,0.33190002845
225,p180,240.0,7.0,Agarone,105946443,8099,"8.9062790,46.1784420",1290000.0,5375.0,6336.89992847,-0.272612235504,8.906279,46.178442,-0.125456054809,0.33190002845
237,a483,68.0,2.5,Agiez,106010020,474,"6.5067100,46.7209000",280000.0,4117.64705882,5567.62825605,-0.204802460308,6.50671,46.7209,0.921324804764,0.759626408561
238,x379,67.0,2.5,Agiez,105972255,475,"6.5073130,46.7203180",395000.0,5895.52238806,5919.69898569,-0.402891376152,6.507313,46.720318,0.920276548331,0.758523356974
239,x379,67.0,2.5,Agiez,105972263,475,"6.5073130,46.7203180",395000.0,5895.52238806,5919.69898569,-0.402891376152,6.507313,46.720318,0.920276548331,0.758523356974
242,a483,105.0,4.5,Agiez,105918000,474,"6.5067100,46.7209000",515000.0,4904.76190476,5567.62825605,-0.314157365265,6.50671,46.7209,0.921324804764,0.759626408561
243,x379,129.0,5.5,Agiez,105972265,475,"6.5073130,46.7203180",695000.0,5387.59689922,5919.69898569,-0.332324617256,6.507313,46.720318,0.920276548331,0.758523356974
245,c348n,85.0,3.5,Agno,105860249,8065,"8.8989550,45.9971590",435000.0,5117.64705882,6688.98680984,-0.187941956172,8.898955,45.997159,0.153861791532,0.667975883087
246,q090ol,73.0,2.5,Agno,105497589,8088,"8.9040738,46.0002367",440000.0,6027.39726027,6433.90412213,-0.349773727664,8.9040738,46.0002367,0.15225781325,0.667915114738
247,q090ol,71.0,2.5,Agno,105497595,8088,"8.9040738,46.0002367",440000.0,6197.18309859,6433.90412213,-0.373362298389,8.9040738,46.0002367,0.15225781325,0.667915114738
248,c274,71.0,2.5,Agno,105886339,8065,"8.8989550,45.9971590",460000.0,6478.87323944,6688.98680984,-0.377058906989,8.898955,45.997159,0.153861791532,0.667975883087
249,h316,103.0,5.5,Agno,105732700,8065,"8.8989550,45.9971590",630000.0,6116.50485437,6688.98680984,-0.326714588732,8.898955,45.997159,0.153861791532,0.667975883087
251,c274,101.0,3.5,Agno,105947676,8065,"8.8989550,45.9971590",650000.0,6435.64356436,6688.98680984,-0.371052951144,8.898955,45.997159,0.153861791532,0.667975883087
252,c078,101.0,3.5,Agno,104844136,8088,"8.9040738,46.0002367",650000.0,6435.64356436,6433.90412213,-0.406491925793,8.9040738,46.0002367,0.15225781325,0.667915114738
253,e258,97.0,3.5,Agno,105983885,8065,"8.8989550,45.9971590",650000.0,6701.03092784,6688.98680984,-0.407923568005,8.898955,45.997159,0.153861791532,0.667975883087
254,q090ol,114.0,3.5,Agno,105497592,8088,"8.9040738,46.0002367",655000.0,5745.61403509,6433.90412213,-0.310625212085,8.9040738,46.0002367,0.15225781325,0.667915114738
255,hgod,130.0,4.5,Agno,105492747,8055,"8.8971321,45.9962759",695000.0,5346.15384615,6239.23733373,-0.282172994512,8.8971321,45.9962759,0.154084798534,0.667584842698
256,c405,129.0,3.5,Agno,105994308,8065,"8.8989550,45.9971590",720000.0,5581.39534884,6688.98680984,-0.252371118499,8.898955,45.997159,0.153861791532,0.667975883087
258,c061r,118.0,3.5,Agno,105747088,8065,"8.8989550,45.9971590",738000.0,6254.23728814,6688.98680984,-0.345849937636,8.898955,45.997159,0.153861791532,0.667975883087
259,p053,120.0,4.5,Agno,105891708,8065,"8.8989550,45.9971590",770000.0,6416.66666667,6688.98680984,-0.368416465689,8.898955,45.997159,0.153861791532,0.667975883087
262,q090ol,139.0,4.5,Agno,105497593,8088,"8.9040738,46.0002367",830000.0,5971.22302158,6433.90412213,-0.341969366502,8.9040738,46.0002367,0.15225781325,0.667915114738
279,cac,130.0,3.5,Agra,105724538,8154,"8.9148201,45.9717334",500000.0,3846.15384615,5036.44593694,-0.240881410795,8.9148201,45.9717334,0.208861508686,0.737835878642
281,cac,150.0,4.5,Agra,105724539,8154,"8.9148201,45.9717334",700000.0,4666.66666667,5036.44593694,-0.354876340463,8.9148201,45.9717334,0.208861508686,0.737835878642
282,c061r,128.0,3.5,Agra,105747077,8136,"8.9118170,45.9669310",840000.0,6562.5,7966.73226502,-0.211158419873,8.911817,45.966931,0.215043278909,0.743931879081
287,c061r,242.0,5.0,Agra,105747092,8136,"8.9118170,45.9669310",1890000.0,7809.91735537,7966.73226502,-0.384463760311,8.911817,45.966931,0.215043278909,0.743931879081
288,cac,430.0,,Agra,105326134,8136,"8.9118170,45.9669310",1900000.0,4418.60465116,7966.73226502,0.0866957920257,8.911817,45.966931,0.215043278909,0.743931879081
291,c061r,270.0,5.0,Agra,105747080,8136,"8.9118170,45.9669310",2100000.0,7777.77777778,7966.73226502,-0.379998566354,8.911817,45.966931,0.215043278909,0.743931879081
295,x379,151.0,6.0,Aigle,106007678,1155,"6.9668620,46.3176820",360000.0,2384.10596026,6388.22754965,0.150047637202,6.966862,46.317682,0.417152717931,0.2877898708
296,d201,81.0,3.5,Aigle,105078413,1155,"6.9668620,46.3176820",440000.0,5432.09876543,6388.22754965,-0.273414028196,6.966862,46.317682,0.417152717931,0.2877898708
297,fonciavte,75.0,3.5,Aigle,105006083,1155,"6.9668620,46.3176820",440000.0,5866.66666667,6388.22754965,-0.333789120575,6.966862,46.317682,0.417152717931,0.2877898708
298,bnl,74.0,3.5,Aigle,105536812,1155,"6.9668620,46.3176820",440000.0,5945.94594595,6388.22754965,-0.344803495537,6.966862,46.317682,0.417152717931,0.2877898708
299,d439,77.0,3.5,Aigle,105194390,1146,"6.9597206,46.3182222",520000.0,6753.24675325,11130.9205819,0.201945743089,6.9597206,46.3182222,0.42728357673,0.297126916442
300,fonciavte,95.0,4.5,Aigle,105827636,1155,"6.9668620,46.3176820",560000.0,5894.73684211,6388.22754965,-0.337688947117,6.966862,46.317682,0.417152717931,0.2877898708
301,fonciavte,110.0,5.0,Aigle,105769500,1155,"6.9668620,46.3176820",580000.0,5272.72727273,6388.22754965,-0.251272336259,6.966862,46.317682,0.417152717931,0.2877898708
304,d337,122.0,4.5,Aigle,105762680,1155,"6.9668620,46.3176820",655000.0,5368.85245902,6388.22754965,-0.264627135326,6.966862,46.317682,0.417152717931,0.2877898708
305,bnl,116.0,5.5,Aigle,105567270,1155,"6.9668620,46.3176820",725000.0,6250.0,6388.22754965,-0.38704612678,6.966862,46.317682,0.417152717931,0.2877898708
307,bnl,145.0,3.5,Aigle,105536958,1155,"6.9668620,46.3176820",770000.0,5310.34482759,6388.22754965,-0.256498592831,6.966862,46.317682,0.417152717931,0.2877898708
309,fonciavte,180.0,6.5,Aigle,105819675,1155,"6.9668620,46.3176820",890000.0,4944.44444444,6388.22754965,-0.205663569417,6.966862,46.317682,0.417152717931,0.2877898708
315,d432,220.0,5.0,Aigle,105786116,1155,"6.9668620,46.3176820",1380000.0,6272.72727273,6388.22754965,-0.390203656792,6.966862,46.317682,0.417152717931,0.2877898708
316,a468,376.0,10.0,Aigle,105926179,1155,"6.9668620,46.3176820",1550000.0,4122.34042553,6388.22754965,-0.091447572454,6.966862,46.317682,0.417152717931,0.2877898708
324,d116,146.0,5.0,Aïre,105997408,120,"6.1018480,46.1988940",1128000.0,7726.02739726,8830.12136948,-0.252857029234,6.101848,46.198894,2.16561479803,2.07138752362
334,sw45,200.0,7.0,Aire-la-Ville,106009470,99,"6.0428680,46.1905660",1500000.0,7500.0,11272.8125548,0.117911567576,6.042868,46.190566,2.30480508694,2.23105337124
339,c348n,360.0,8.0,Airolo,105903566,6560,"8.6123720,46.5285310",390000.0,1083.33333333,2760.07257257,-0.17329866609,8.612372,46.528531,-0.794738464203,-0.561405926436
341,bizasc,555.0,22.0,Airolo,105537519,6560,"8.6123720,46.5285310",1290000.0,2324.32432432,2760.07257257,-0.345711183238,8.612372,46.528531,-0.794738464203,-0.561405926436
346,bizasc2,400.0,,Airolo,104896578,6560,"8.6123720,46.5285310",550000.0,1375.0,2760.07257257,-0.213820301246,8.612372,46.528531,-0.794738464203,-0.561405926436
348,d448,210.0,6.5,Albeuve,105858758,1345,"7.0567630,46.5176540",948000.0,4514.28571429,7353.38789742,-0.0118100473558,7.056763,46.517654,0.0622641941021,-0.0892602669945
349,d202,210.0,4.5,Albeuve,105891821,1345,"7.0567630,46.5176540",948000.0,4514.28571429,7353.38789742,-0.0118100473558,7.056763,46.517654,0.0622641941021,-0.0892602669945
350,bizvisp,63.0,2.0,Albinen,105886879,2993,"7.6340510,46.3411580",180000.0,2857.14285714,6908.72164035,0.156640927807,7.634051,46.341158,-0.379127397503,-0.415691480397
351,x243chsky,75.0,3.5,Albinen,106005458,2993,"7.6340510,46.3411580",194000.0,2586.66666667,6908.72164035,0.194218542123,7.634051,46.341158,-0.379127397503,-0.415691480397
352,x243chsky,190.0,,Albinen,106005484,2993,"7.6340510,46.3411580",195000.0,1026.31578947,6908.72164035,0.411000149986,7.634051,46.341158,-0.379127397503,-0.415691480397
354,x379,85.0,4.0,Albinen,105994267,2993,"7.6340510,46.3411580",365000.0,4294.11764706,6908.72164035,-0.0429998773287,7.634051,46.341158,-0.379127397503,-0.415691480397
355,i209,150.0,4.5,Albinen,105374677,2993,"7.6340510,46.3411580",436000.0,2906.66666667,6908.72164035,0.149760519552,7.634051,46.341158,-0.379127397503,-0.415691480397
363,c405,40.0,1.0,Aldesago,105999456,8627,"8.9791570,46.0080310",295000.0,7375.0,11258.8383828,0.133336532467,8.979157,46.008031,0.199683794385,0.745828277066
364,p177,60.0,2.5,Aldesago,105903869,8627,"8.9791570,46.0080310",570000.0,9500.0,11258.8383828,-0.161892523666,8.979157,46.008031,0.199683794385,0.745828277066
365,hgol,78.0,2.5,Aldesago,105960141,8653,"8.9823109,46.0058086",765000.0,9807.69230769,11111.1111111,-0.225164567221,8.9823109,46.0058086,0.20633278733,0.754301207852
366,h316,78.0,2.5,Aldesago,105992460,8627,"8.9791570,46.0080310",765000.0,9807.69230769,11258.8383828,-0.204640622291,8.979157,46.008031,0.199683794385,0.745828277066
368,p130,110.0,3.5,Aldesago,105993693,8627,"8.9791570,46.0080310",930000.0,8454.54545455,11258.8383828,-0.0166461431083,8.979157,46.008031,0.199683794385,0.745828277066
369,c275ff,135.0,4.0,Aldesago,105367277,8627,"8.9791570,46.0080310",1300000.0,9629.62962963,11258.8383828,-0.17990213929,8.979157,46.008031,0.199683794385,0.745828277066
391,d489,120.0,6.0,Alle,105443722,1558,"7.1277120,47.4259730",320000.0,2666.66666667,3377.83946731,-0.307446086467,7.127712,47.425973,-0.153658620476,-0.344617541524
392,d489,211.0,5.0,Alle,105847912,1558,"7.1277120,47.4259730",340000.0,1611.37440758,3377.83946731,-0.160832939364,7.127712,47.425973,-0.153658620476,-0.344617541524
393,d489,185.0,9.0,Alle,105443721,1558,"7.1277120,47.4259730",390000.0,2108.10810811,3377.83946731,-0.229844808331,7.127712,47.425973,-0.153658620476,-0.344617541524
405,a425la,83.0,3.5,Allens,105914632,481,"6.5100690,46.5994840",555000.0,6686.74698795,8043.68370185,-0.217729253246,6.510069,46.599484,0.976337573142,0.810268617172
411,hgom,25.0,1.5,Allschwil,106008618,2605,"7.5572555,47.5581265",150000.0,6000.0,6169.50276497,-0.382701019816,7.5572555,47.5581265,-0.656467741056,-0.835011930004
412,remblixr,83.0,3.5,Allschwil,105735872,2526,"7.5383463,47.5567232",390000.0,4698.79518072,7007.65144552,-0.0854778129976,7.5383463,47.5567232,-0.634528410344,-0.814422332083
413,s132,208.0,8.0,Allschwil,105989262,2522,"7.5366559,47.5554505",580000.0,2788.46153846,6528.59053967,0.113370798315,7.5366559,47.5554505,-0.633682234891,-0.813889261888
414,bizbs,84.0,4.5,Allschwil,105934029,2521,"7.5364650,47.5509080",590000.0,7023.80952381,7482.28506951,-0.34255364979,7.536465,47.550908,-0.637911943824,-0.818918342414
417,hgol,144.0,4.0,Allschwil,105971530,2521,"7.5364650,47.5509080",780000.0,5416.66666667,7482.28506951,-0.119271170362,7.536465,47.550908,-0.637911943824,-0.818918342414
423,i338,180.0,5.5,Allschwil,105992053,2513,"7.5348792,47.5495851",850000.0,4722.22222222,6090.86907494,-0.216102348196,7.5348792,47.5495851,-0.637224594989,-0.818539650463
426,s132,235.0,6.0,Allschwil,105989263,2522,"7.5366559,47.5554505",950000.0,4042.55319149,6528.59053967,-0.0608618111102,7.5366559,47.5554505,-0.633682234891,-0.813889261888
427,h310,207.0,9.0,Allschwil,105959858,2521,"7.5364650,47.5509080",980000.0,4734.29951691,7482.28506951,-0.0244690011579,7.536465,47.550908,-0.637911943824,-0.818918342414
428,h310,207.0,,Allschwil,105959859,2521,"7.5364650,47.5509080",980000.0,4734.29951691,7482.28506951,-0.0244690011579,7.536465,47.550908,-0.637911943824,-0.818918342414
430,remblixr,164.0,4.5,Allschwil,105942052,2581,"7.5509030,47.5510637",1090000.0,6646.34146341,7666.17917164,-0.264562863253,7.550903,47.5510637,-0.655651312062,-0.835842532141
431,i114,449.0,12.5,Allschwil,105623121,2550,"7.5427648,47.5409008",1100000.0,2449.88864143,6897.86742363,0.211713303128,7.5427648,47.5409008,-0.655413982124,-0.837788484882
438,x243chsky,206.0,6.5,Allschwil,106006154,2521,"7.5364650,47.5509080",1500000.0,7281.55339806,7482.28506951,-0.378362346599,7.536465,47.550908,-0.637911943824,-0.818918342414
446,p102,145.0,4.5,Alpnach Dorf,105964120,4955,"8.2701080,46.9379560",850000.0,5862.06896552,6230.4816915,-0.355066196266,8.270108,46.937956,-1.29538694568,-1.25994267397
454,6008,147.0,6.5,Altdorf UR,105783803,6673,"8.6345307,46.8734072",690000.0,4693.87755102,5513.44537815,-0.292386622298,8.6345307,46.8734072,-1.14893696832,-0.980271830145
466,h005,108.0,3.5,Altendorf,105962443,7660,"8.8153935,47.1930427",875000.0,8101.85185185,9192.30769231,-0.25475179289,8.8153935,47.1930427,-1.17906363315,-0.999161872473
468,h005,134.0,4.5,Altendorf,105962442,7660,"8.8153935,47.1930427",970000.0,7238.80597015,9192.30769231,-0.134847688864,8.8153935,47.1930427,-1.17906363315,-0.999161872473
469,x163,131.0,5.5,Altendorf,105979144,7728,"8.8231543,47.1904732",1045000.0,7977.09923664,8461.53846154,-0.338946481554,8.8231543,47.1904732,-1.16994496541,-0.988402971006
474,h005,134.0,4.5,Altendorf,105962444,7660,"8.8153935,47.1930427",1130000.0,8432.8358209,9192.30769231,-0.300735832784,8.8153935,47.1930427,-1.17906363315,-0.999161872473
481,e215,157.0,5.5,Altendorf,105962332,7637,"8.8117659,47.1935783",1390000.0,8853.50318471,9556.41025641,-0.308594455104,8.8117659,47.1935783,-1.18315730099,-1.00395813951
483,h276,185.0,6.5,Altendorf,105754487,7769,"8.8301320,47.1924110",1450000.0,7837.83783784,9857.55875318,-0.12564776891,8.830132,47.192411,-1.1625524059,-0.979864135669
484,h276,165.0,5.5,Altendorf,106003310,7769,"8.8301320,47.1924110",1490000.0,9030.3030303,9857.55875318,-0.291318532789,8.830132,47.192411,-1.1625524059,-0.979864135669
485,e058xr,216.0,5.0,Altendorf,105635828,7769,"8.8301320,47.1924110",1490000.0,6898.14814815,9857.55875318,0.00490456056957,8.830132,47.192411,-1.1625524059,-0.979864135669
489,h276,238.0,8.5,Altendorf,105902339,7769,"8.8301320,47.1924110",2300000.0,9663.86554622,9857.55875318,-0.379340209766,8.830132,47.192411,-1.1625524059,-0.979864135669
502,x527,125.0,5.5,Altnau,105890436,9558,"9.2630180,47.6122960",650000.0,5200.0,5806.03929402,-0.322052423374,9.263018,47.612296,-0.41317842556,-0.121605304602
503,x243chsky,145.0,5.5,Altnau,106007514,9558,"9.2630180,47.6122960",750000.0,5172.4137931,5806.03929402,-0.318219835221,9.263018,47.612296,-0.41317842556,-0.121605304602
504,q041,150.0,,Altnau,105736952,9558,"9.2630180,47.6122960",754000.0,5026.66666667,5806.03929402,-0.297970994481,9.263018,47.612296,-0.41317842556,-0.121605304602
507,hgoj,190.0,4.5,Altnau,105795320,9558,"9.2630180,47.6122960",1090000.0,5736.84210526,5806.03929402,-0.396636605976,9.263018,47.612296,-0.41317842556,-0.121605304602
552,c347x,158.0,5.5,Amden,105493364,9272,"9.1417660,47.1491110",685000.0,4335.44303797,7448.892019,0.0263053155585,9.141766,47.149111,-0.745134640661,-0.48013617536
559,p102,205.0,6.5,Amden,105964641,9272,"9.1417660,47.1491110",1170000.0,5707.31707317,7448.892019,-0.164290955756,9.141766,47.149111,-0.745134640661,-0.48013617536
565,t004,24.0,1.5,Aminona,105985557,2507,"7.5329010,46.3315700",49000.0,2041.66666667,8403.76569629,0.47764455676,7.532901,46.33157,-0.283426057242,-0.336603965536
578,x379ag,144.0,5.5,Ammerswil AG,105998869,4684,"8.2086870,47.3714950",578000.0,4013.88888889,7931.97464859,0.13809456577,8.208687,47.371495,-1.34246678613,-1.35231007178
579,x243chsky,144.0,5.5,Ammerswil AG,106006328,4681,"8.2075452,47.3675351",578000.0,4013.88888889,7997.49695233,0.147197665953,8.2075452,47.3675351,-1.34376235148,-1.35427775716
623,h010,150.0,4.5,Andiast,105803024,9181,"9.1076361,46.7814653",985000.0,6566.66666667,7127.05434979,-0.32839486196,9.1076361,46.7814653,-0.609672996417,-0.262596818731
627,s939,160.0,4.5,Anglikon,105858596,4925,"8.2628585,47.3672841",765000.0,4781.25,7895.6610603,0.0264389785025,8.2628585,47.3672841,-1.37263172082,-1.35401525134
628,e179,136.0,5.5,Anglikon,105621751,4924,"8.2627980,47.3671845",770000.0,5661.76470588,12467.0032997,0.539210521591,8.262798,47.3671845,-1.37264950459,-1.35406676233
629,seix,209.0,5.5,Anglikon,105956182,4922,"8.2622090,47.3650360",990000.0,4736.84210526,5466.74418605,-0.304844002844,8.262209,47.365036,-1.37336508643,-1.35513117689
